,Holding City,Date,Sport,Major,Participant,Country,Gender,Event,Event_G,Medal
1,Athens,1896,Aquatics,Swimming,"HERSCHMANN, Otto",AUT,Men,100m freestyle,M,Silver
4,Athens,1896,Aquatics,Swimming,"CHASAPIS, Spiridon",GRE,Men,100m freestyle for sailors,M,Silver
7,Athens,1896,Aquatics,Swimming,"ANDREOU, Joannis",GRE,Men,1200m freestyle,M,Silver
10,Athens,1896,Aquatics,Swimming,"PEPANOS, Antonios",GRE,Men,400m freestyle,M,Silver
14,Athens,1896,Athletics,Athletics,"HOFMANN, Fritz",GER,Men,100m,M,Silver
16,Athens,1896,Athletics,Athletics,"GOULDING, Grantley",GBR,Men,110m hurdles,M,Silver
19,Athens,1896,Athletics,Athletics,"BLAKE, Arthur",USA,Men,1500m,M,Silver
22,Athens,1896,Athletics,Athletics,"JAMISON, Herbert",USA,Men,400m,M,Silver
25,Athens,1896,Athletics,Athletics,"DANI, Nandor",HUN,Men,800m,M,Silver
28,Athens,1896,Athletics,Athletics,"PARASKEVOPOULOS, Panagiotis",GRE,Men,discus throw,M,Silver
30,Athens,1896,Athletics,Athletics,"CONNOLLY, James",USA,Men,high jump,M,Silver
31,Athens,1896,Athletics,Athletics,"GARRETT, Robert",USA,Men,high jump,M,Silver
34,Athens,1896,Athletics,Athletics,"GARRETT, Robert",USA,Men,long jump,M,Silver
37,Athens,1896,Athletics,Athletics,"VASILAKOS, Kharilaos",GRE,Men,marathon,M,Silver
41,Athens,1896,Athletics,Athletics,"TYLER, Albert",USA,Men,pole vault,M,Silver
44,Athens,1896,Athletics,Athletics,"GOUSKOS, Miltiadis",GRE,Men,shot put,M,Silver
47,Athens,1896,Athletics,Athletics,"TUFFERI, Alexandre",FRA,Men,triple jump,M,Silver
50,Athens,1896,Cycling,Cycling Road,"GOEDRICH, August",GER,Men,individual road race,M,Silver
52,Athens,1896,Cycling,Cycling Track,"KOLETTIS, Georgios",GRE,Men,100km,M,Silver
55,Athens,1896,Cycling,Cycling Track,"FLAMENG, Léon",FRA,Men,10km,M,Silver
57,Athens,1896,Cycling,Cycling Track,"KEEPING, Frank",GBR,Men,12-hour race,M,Silver
60,Athens,1896,Cycling,Cycling Track,"NIKOLOPOULOS, Stamatios",GRE,Men,1km time trial,M,Silver
63,Athens,1896,Cycling,Cycling Track,"NIKOLOPOULOS, Stamatios",GRE,Men,Sprint indivual,M,Silver
66,Athens,1896,Fencing,Fencing,"CALLOT, Henri",FRA,Men,foil individual,M,Silver
68,Athens,1896,Fencing,Fencing,"PERRONNET, Maurice",FRA,Men,"foil, masters",M,Silver
71,Athens,1896,Fencing,Fencing,"KARAKALOS, Telemachos",GRE,Men,sabre individual,M,Silver
73,Athens,1896,Gymnastics,Artistic G.,"FLATOW, Alfred",GER,Men,horizontal bar,M,Silver
75,Athens,1896,Gymnastics,Artistic G.,"ZUTTER, Louis",SUI,Men,parallel bars,M,Silver
77,Athens,1896,Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",GER,Men,pommel horse,M,Silver
80,Athens,1896,Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",GER,Men,rings,M,Silver
83,Athens,1896,Gymnastics,Artistic G.,"XENAKIS, Thomasios",GRE,Men,rope climbing,M,Silver
110,Athens,1896,Gymnastics,Artistic G.,"ANDRIAKOPOULOS, Nicolaos",GRE,Men,"team, parallel bars",M,Silver
111,Athens,1896,Gymnastics,Artistic G.,"ATHANASOPOULOS, Spyros",GRE,Men,"team, parallel bars",M,Silver
112,Athens,1896,Gymnastics,Artistic G.,"PERSAKIS, Petros",GRE,Men,"team, parallel bars",M,Silver
113,Athens,1896,Gymnastics,Artistic G.,"XENAKIS, Thomasios",GRE,Men,"team, parallel bars",M,Silver
116,Athens,1896,Gymnastics,Artistic G.,"ZUTTER, Louis",SUI,Men,vault,M,Silver
119,Athens,1896,Shooting,Shooting,"PAINE, Sumner",USA,Men,25m army pistol,M,Silver
122,Athens,1896,Shooting,Shooting,"ORPHANIDIS, Georgios",GRE,Men,25m rapid fire pistol (60 shots),M,Silver
125,Athens,1896,Shooting,Shooting,"NIELSEN, Holger",DEN,Men,50m pistol (60 shots),M,Silver
128,Athens,1896,Shooting,Shooting,"PAVLIDIS, Pavlos",GRE,Men,"army rifle, 200m",M,Silver
131,Athens,1896,Shooting,Shooting,"PHRANGOUDIS, Joannis",GRE,Men,"army rifle, 300m",M,Silver
136,Athens,1896,Tennis,Tennis,"KASDAGLIS, Dionysios",ZZX,Men,doubles,M,Silver
137,Athens,1896,Tennis,Tennis,"PETROKOKKINOS, Demetrios",ZZX,Men,doubles,M,Silver
141,Athens,1896,Tennis,Tennis,"KASDAGLIS, Dionysios",GRE,Men,singles,M,Silver
144,Athens,1896,Weightlifting,Weightlifting,"JENSEN, Viggo",DEN,Men,heavyweight - one hand lift,M,Silver
147,Athens,1896,Weightlifting,Weightlifting,"ELLIOTT, Launceston",GBR,Men,heavyweight - two hand lift,M,Silver
150,Athens,1896,Wrestling,Wrestling Gre-R,"TSITAS, Georgios",GRE,Men,open event,M,Silver
153,Paris,1900,Aquatics,Swimming,"WAHLE, Otto",AUT,Men,1500m freestyle,M,Silver
156,Paris,1900,Aquatics,Swimming,"RUBERL, Karl",AUT,Men,200m backstroke,M,Silver
159,Paris,1900,Aquatics,Swimming,"HALMAY, Zoltan",HUN,Men,200m freestyle,M,Silver
162,Paris,1900,Aquatics,Swimming,"WAHLE, Otto",AUT,Men,200m obstacle event,M,Silver
173,Paris,1900,Aquatics,Swimming,BERTRAND,FRA,Men,200m team swimming,M,Silver
174,Paris,1900,Aquatics,Swimming,CADET,FRA,Men,200m team swimming,M,Silver
175,Paris,1900,Aquatics,Swimming,"HOCHEPIED, Maurice",FRA,Men,200m team swimming,M,Silver
176,Paris,1900,Aquatics,Swimming,"HOCHEPIED, Victor",FRA,Men,200m team swimming,M,Silver
177,Paris,1900,Aquatics,Swimming,VERBECKE,FRA,Men,200m team swimming,M,Silver
180,Paris,1900,Aquatics,Swimming,"HALMAY, Zoltan",HUN,Men,4000m freestyle,M,Silver
183,Paris,1900,Aquatics,Swimming,"SIX, André",FRA,Men,underwater swimming,M,Silver
205,Paris,1900,Aquatics,Water polo,"COHEN, Henri",BEL,Men,water polo,M,Silver
206,Paris,1900,Aquatics,Water polo,"DE BACKER, Jean",BEL,Men,water polo,M,Silver
207,Paris,1900,Aquatics,Water polo,"DE BEHR, Victor",BEL,Men,water polo,M,Silver
208,Paris,1900,Aquatics,Water polo,"FEYAERTS, Fernand",BEL,Men,water polo,M,Silver
209,Paris,1900,Aquatics,Water polo,"GREGOIRE, Oscar",BEL,Men,water polo,M,Silver
210,Paris,1900,Aquatics,Water polo,"MICHANT, Albert",BEL,Men,water polo,M,Silver
211,Paris,1900,Aquatics,Water polo,"SONNEMANS, Victor",BEL,Men,water polo,M,Silver
214,Paris,1900,Archery,Archery,"THIBAUD, Victor",FRA,Men,"au chapelet, 33m",M,Silver
217,Paris,1900,Archery,Archery,"HELLE, Henri",FRA,Men,"au chapelet, 50m",M,Silver
220,Paris,1900,Archery,Archery,"THIBAUD, Victor",FRA,Men,"au cordon doré, 33m",M,Silver
223,Paris,1900,Archery,Archery,"VAN INNIS, Hubert",BEL,Men,"au cordon doré, 50m",M,Silver
225,Paris,1900,Archery,Archery,"DRUART, Jr.",BEL,Men,sur la perche à la herse,M,Silver
226,Paris,1900,Archery,Archery,"SERRURIER, Auguste",FRA,Men,sur la perche à la herse,M,Silver
229,Paris,1900,Archery,Archery,"SERRURIER, Auguste",FRA,Men,sur la perche à la pyramide,M,Silver
232,Paris,1900,Athletics,Athletics,"TEWKSBURY, Walter B. John",USA,Men,100m,M,Silver
235,Paris,1900,Athletics,Athletics,"MCLEAN, John",USA,Men,110m hurdles,M,Silver
238,Paris,1900,Athletics,Athletics,"DELOGE, Henri",FRA,Men,1500m,M,Silver
241,Paris,1900,Athletics,Athletics,"PRITCHARD, Norman",IND,Men,200m,M,Silver
244,Paris,1900,Athletics,Athletics,"PRITCHARD, Norman",IND,Men,200m hurdles,M,Silver
247,Paris,1900,Athletics,Athletics,"ROBINSON, Sidney",GBR,Men,3000m steeplechase,M,Silver
250,Paris,1900,Athletics,Athletics,"BENNETT, Charles",GBR,Men,4000m steeplechase,M,Silver
253,Paris,1900,Athletics,Athletics,"HOLLAND, William",USA,Men,400m,M,Silver
256,Paris,1900,Athletics,Athletics,"TAUZIN, Henri",FRA,Men,400m hurdles,M,Silver
262,Paris,1900,Athletics,Athletics,"CASTANET, André",FRA,Men,5000m team,M,Silver
263,Paris,1900,Athletics,Athletics,"CHAMPOUDRY, Michel",FRA,Men,5000m team,M,Silver
264,Paris,1900,Athletics,Athletics,"CHASTANIE, Jacques",FRA,Men,5000m team,M,Silver
265,Paris,1900,Athletics,Athletics,"DELOGE, Henri",FRA,Men,5000m team,M,Silver
266,Paris,1900,Athletics,Athletics,"RAGUENEAU, Gaston",FRA,Men,5000m team,M,Silver
269,Paris,1900,Athletics,Athletics,"TEWKSBURY, Walter B. John",USA,Men,60m,M,Silver
272,Paris,1900,Athletics,Athletics,"CREGAN, John",USA,Men,800m,M,Silver
275,Paris,1900,Athletics,Athletics,"JANDA, Frantisek",BOH,Men,discus throw,M,Silver
278,Paris,1900,Athletics,Athletics,"HARE, Thomas Truxton",USA,Men,hammer throw,M,Silver
281,Paris,1900,Athletics,Athletics,"LEAHY, Patrick Joseph",GBR,Men,high jump,M,Silver
284,Paris,1900,Athletics,Athletics,"BAXTER, Irving",USA,Men,"high jump, standing",M,Silver
287,Paris,1900,Athletics,Athletics,"PRINSTEIN, Meyer",USA,Men,long jump,M,Silver
290,Paris,1900,Athletics,Athletics,"BAXTER, Irving",USA,Men,"long jump, standing",M,Silver
293,Paris,1900,Athletics,Athletics,"CHAMPION, Emile",FRA,Men,marathon,M,Silver
296,Paris,1900,Athletics,Athletics,"COLKETT, Meredith Bright",USA,Men,pole vault,M,Silver
299,Paris,1900,Athletics,Athletics,"MCCRACKEN, Josiah",USA,Men,shot put,M,Silver
302,Paris,1900,Athletics,Athletics,"CONNOLLY, James",USA,Men,triple jump,M,Silver
305,Paris,1900,Athletics,Athletics,"BAXTER, Irving",USA,Men,"triple jump, standing",M,Silver
308,Paris,1900,Basque Pelota,Basque Pelota,"DURQUETTY, Maurice",FRA,Men,cesta punta,M,Silver
309,Paris,1900,Basque Pelota,Basque Pelota,ETCHEGARAY,FRA,Men,cesta punta,M,Silver
322,Paris,1900,Cricket,Cricket,"ANDERSON, W.",FRA,Men,cricket,M,Silver
323,Paris,1900,Cricket,Cricket,"ATTRILL, W.T.",FRA,Men,cricket,M,Silver
324,Paris,1900,Cricket,Cricket,"BRAID, J.",FRA,Men,cricket,M,Silver
325,Paris,1900,Cricket,Cricket,"BROWNING, W.",FRA,Men,cricket,M,Silver
326,Paris,1900,Cricket,Cricket,"HORNE, R.",FRA,Men,cricket,M,Silver
327,Paris,1900,Cricket,Cricket,"JORDAN, T.H.",FRA,Men,cricket,M,Silver
328,Paris,1900,Cricket,Cricket,"MCEVOY, A.",FRA,Men,cricket,M,Silver
329,Paris,1900,Cricket,Cricket,"ROBINSON, D.",FRA,Men,cricket,M,Silver
330,Paris,1900,Cricket,Cricket,"ROQUES, F.",FRA,Men,cricket,M,Silver
331,Paris,1900,Cricket,Cricket,"SCHNEIDAU, A.J.",FRA,Men,cricket,M,Silver
332,Paris,1900,Cricket,Cricket,"TERRY, Henry John",FRA,Men,cricket,M,Silver
333,Paris,1900,Cricket,Cricket,"TOMALIN, P.H.",FRA,Men,cricket,M,Silver
338,Paris,1900,Croquet,Croquet,JOHIN,FRA,Men,individual 1 ball,M,Silver
341,Paris,1900,Croquet,Croquet,VIGNEROT,FRA,Men,individual 2 balls,M,Silver
344,Paris,1900,Cycling,Cycling Track,"HILDEBRAND, Louis",FRA,Men,25 kilometres,M,Silver
347,Paris,1900,Cycling,Cycling Track,"SANZ, Fernand",FRA,Men,Sprint indivual,M,Silver
353,Paris,1900,Equestrian,Jumping,"VAN DE POELE, Georges",BEL,Men,individual,X,Silver
356,Paris,1900,Equestrian,Jumping,"TRISSINO, Gian Giorgio",ITA,Men,long jump individual,X,Silver
359,Paris,1900,Fencing,Fencing,"PERREE, Louis",FRA,Men,épée individual,M,Silver
362,Paris,1900,Fencing,Fencing,"FONST, Ramon",CUB,Men,"épée, amateurs and masters",M,Silver
365,Paris,1900,Fencing,Fencing,"BOUGNOL, Emile",FRA,Men,"épée, masters",M,Silver
368,Paris,1900,Fencing,Fencing,"MASSON, Henri",FRA,Men,foil individual,M,Silver
371,Paris,1900,Fencing,Fencing,"KIRCHHOFFER, Alphonse",FRA,Men,"foil, masters",M,Silver
374,Paris,1900,Fencing,Fencing,"THIEBAUT, Léon",FRA,Men,sabre individual,M,Silver
377,Paris,1900,Fencing,Fencing,"SANTELLI, Italo",ITA,Men,"sabre, masters",M,Silver
400,Paris,1900,Football,Football,"ALLEMANE, Pierre",FRA,Men,football,M,Silver
401,Paris,1900,Football,Football,BACH,FRA,Men,football,M,Silver
402,Paris,1900,Football,Football,"BLOCH, Jean",FRA,Men,football,M,Silver
403,Paris,1900,Football,Football,"CANELLE, Fernand",FRA,Men,football,M,Silver
404,Paris,1900,Football,Football,DUPARC,FRA,Men,football,M,Silver
405,Paris,1900,Football,Football,FRAYSSE,FRA,Men,football,M,Silver
406,Paris,1900,Football,Football,GAILLARD,FRA,Men,football,M,Silver
407,Paris,1900,Football,Football,"GARNIER, René",FRA,Men,football,M,Silver
408,Paris,1900,Football,Football,GRANDJEAN,FRA,Men,football,M,Silver
409,Paris,1900,Football,Football,HUTEAU,FRA,Men,football,M,Silver
410,Paris,1900,Football,Football,LAMBERT,FRA,Men,football,M,Silver
411,Paris,1900,Football,Football,MACAIRE,FRA,Men,football,M,Silver
412,Paris,1900,Football,Football,PELTIER,FRA,Men,football,M,Silver
415,Paris,1900,Golf,Golf,"RUTHERFORD, Walter",GBR,Men,individual,M,Silver
418,Paris,1900,Golf,Golf,"WHITTIER, Pauline",USA,Women,individual,W,Silver
421,Paris,1900,Gymnastics,Artistic G.,"BAS, Noël",FRA,Men,individual all-round,M,Silver
430,Paris,1900,Polo,Polo,"BUCKMASTER, Walter Selby",ZZX,Men,polo,M,Silver
431,Paris,1900,Polo,Polo,"COMTE DE MADRE, José Pierre M.J.",ZZX,Men,polo,M,Silver
432,Paris,1900,Polo,Polo,"FREAKE, Frederick Maitland",ZZX,Men,polo,M,Silver
433,Paris,1900,Polo,Polo,"MCCREERY, Walter Adolph",ZZX,Men,polo,M,Silver
452,Paris,1900,Rowing,Rowing,"BRUGGEMAN, Prospère",BEL,Men,eight with coxswain (8+),M,Silver
453,Paris,1900,Rowing,Rowing,"DE BISSCHOP, Jules",BEL,Men,eight with coxswain (8+),M,Silver
454,Paris,1900,Rowing,Rowing,"DE COCK, Oscar",BEL,Men,eight with coxswain (8+),M,Silver
455,Paris,1900,Rowing,Rowing,"DE SOMVILLE, Oscar Charles",BEL,Men,eight with coxswain (8+),M,Silver
456,Paris,1900,Rowing,Rowing,"HEMELSOET, Maurice",BEL,Men,eight with coxswain (8+),M,Silver
457,Paris,1900,Rowing,Rowing,"ODBERG, Frank",BEL,Men,eight with coxswain (8+),M,Silver
458,Paris,1900,Rowing,Rowing,"VAN CROMBRUGGHE, Marcel Lucien",BEL,Men,eight with coxswain (8+),M,Silver
459,Paris,1900,Rowing,Rowing,"VAN LANDEGHEM, Alfred",BEL,Men,eight with coxswain (8+),M,Silver
460,Paris,1900,Rowing,Rowing,"VERDONCK, Maurice",BEL,Men,eight with coxswain (8+),M,Silver
481,Paris,1900,Rowing,Rowing,"BROCKMANN, Hermanus Gerardus",NED,Men,four-oared shell with coxswain (4-),M,Silver
482,Paris,1900,Rowing,Rowing,"HIEBENDAAI, Coenraad Christiaan",NED,Men,four-oared shell with coxswain (4-),M,Silver
483,Paris,1900,Rowing,Rowing,"LOTSY, Gerhard Oswald",NED,Men,four-oared shell with coxswain (4-),M,Silver
484,Paris,1900,Rowing,Rowing,"LOTSY, Paulus Jan",NED,Men,four-oared shell with coxswain (4-),M,Silver
485,Paris,1900,Rowing,Rowing,"LUMPP, Georges",FRA,Men,four-oared shell with coxswain (4-),M,Silver
486,Paris,1900,Rowing,Rowing,"PERRIN, Charles",FRA,Men,four-oared shell with coxswain (4-),M,Silver
487,Paris,1900,Rowing,Rowing,"SOUBEYRAN, Daniel",FRA,Men,four-oared shell with coxswain (4-),M,Silver
488,Paris,1900,Rowing,Rowing,"TERWOGT, Johannes Hester Lambertus",NED,Men,four-oared shell with coxswain (4-),M,Silver
489,Paris,1900,Rowing,Rowing,"WEGELIN, Emile",FRA,Men,four-oared shell with coxswain (4-),M,Silver
496,Paris,1900,Rowing,Rowing,"MARTINET, Louis",FRA,Men,pair-oared shell with coxswain (2+),M,Silver
497,Paris,1900,Rowing,Rowing,UNKNOWN COX / BARREUR INCONNU,FRA,Men,pair-oared shell with coxswain (2+),M,Silver
498,Paris,1900,Rowing,Rowing,WALEFF,FRA,Men,pair-oared shell with coxswain (2+),M,Silver
501,Paris,1900,Rowing,Rowing,"GAUDIN, André",FRA,Men,single sculls (1x),M,Silver
519,Paris,1900,Rugby,Rugby,"AMRHEIN, Albert",GER,Men,rugby,M,Silver
520,Paris,1900,Rugby,Rugby,"BAYLISS, F.C.",GBR,Men,rugby,M,Silver
521,Paris,1900,Rugby,Rugby,"BETTING, Hugo",GER,Men,rugby,M,Silver
522,Paris,1900,Rugby,Rugby,"BIRTLES, J.Henry",GBR,Men,rugby,M,Silver
523,Paris,1900,Rugby,Rugby,"CAUTLON, J.",GBR,Men,rugby,M,Silver
524,Paris,1900,Rugby,Rugby,"DARBY, Artur John",GBR,Men,rugby,M,Silver
525,Paris,1900,Rugby,Rugby,"DEYKIN, C.P.",GBR,Men,rugby,M,Silver
526,Paris,1900,Rugby,Rugby,"HERRMANN, Jacob",GER,Men,rugby,M,Silver
527,Paris,1900,Rugby,Rugby,"HOFMEISTER, Willy",GER,Men,rugby,M,Silver
528,Paris,1900,Rugby,Rugby,"HOOD, L.",GBR,Men,rugby,M,Silver
529,Paris,1900,Rugby,Rugby,"KREUZER, Hermann",GER,Men,rugby,M,Silver
530,Paris,1900,Rugby,Rugby,"LANDVOIGT, Arnold",GER,Men,rugby,M,Silver
531,Paris,1900,Rugby,Rugby,"LATSCHA, Hans",GER,Men,rugby,M,Silver
532,Paris,1900,Rugby,Rugby,"LOGAN, M.L.",GBR,Men,rugby,M,Silver
533,Paris,1900,Rugby,Rugby,"LOVEITT, H.A.",GBR,Men,rugby,M,Silver
534,Paris,1900,Rugby,Rugby,"LUDWIG, Erich",GER,Men,rugby,M,Silver
535,Paris,1900,Rugby,Rugby,"LUDWIG, Richard",GER,Men,rugby,M,Silver
536,Paris,1900,Rugby,Rugby,"MÜLLER, Fritz",GER,Men,rugby,M,Silver
537,Paris,1900,Rugby,Rugby,"NICOL, N.S.",GBR,Men,rugby,M,Silver
538,Paris,1900,Rugby,Rugby,"POPPE, Eduard",GER,Men,rugby,M,Silver
539,Paris,1900,Rugby,Rugby,"REITZ, Heinrich",GER,Men,rugby,M,Silver
540,Paris,1900,Rugby,Rugby,"SCHMIERER, August",GER,Men,rugby,M,Silver
541,Paris,1900,Rugby,Rugby,"SMITH, V.",GBR,Men,rugby,M,Silver
542,Paris,1900,Rugby,Rugby,"STOCKHAUSEN, Adolf",GER,Men,rugby,M,Silver
543,Paris,1900,Rugby,Rugby,"TALBOT, M.W.",GBR,Men,rugby,M,Silver
544,Paris,1900,Rugby,Rugby,"WALLIS, J.G.",GBR,Men,rugby,M,Silver
545,Paris,1900,Rugby,Rugby,"WENDEROTH, Georg",GER,Men,rugby,M,Silver
546,Paris,1900,Rugby,Rugby,"WHITTINDALE, Claud",GBR,Men,rugby,M,Silver
547,Paris,1900,Rugby,Rugby,"WHITTINDALE, Raymond",GBR,Men,rugby,M,Silver
548,Paris,1900,Rugby,Rugby,"WILSON, Francis Henry",GBR,Men,rugby,M,Silver
554,Paris,1900,Sailing,Sailing,"BAUDRIER, Jacques",FRA,Men,0.5-1t,X,Silver
555,Paris,1900,Sailing,Sailing,"LEBRET, Jean",FRA,Men,0.5-1t,X,Silver
556,Paris,1900,Sailing,Sailing,MARCOTTE,FRA,Men,0.5-1t,X,Silver
557,Paris,1900,Sailing,Sailing,"MARTIN, William",FRA,Men,0.5-1t,X,Silver
558,Paris,1900,Sailing,Sailing,VALTON,FRA,Men,0.5-1t,X,Silver
562,Paris,1900,Sailing,Sailing,"LE DUC DECAZES, Jean",FRA,Men,10-20t,X,Silver
565,Paris,1900,Sailing,Sailing,"GUFFLET, Maurice",FRA,Men,3-10t,X,Silver
571,Paris,1900,Sailing,Sailing,"NAUE, Georg",GER,Men,open class,X,Silver
572,Paris,1900,Sailing,Sailing,"PETERS, Heinrich",GER,Men,open class,X,Silver
573,Paris,1900,Sailing,Sailing,"WEISE, Ottokar",GER,Men,open class,X,Silver
574,Paris,1900,Sailing,Sailing,"WIESNER, Martin",GER,Men,open class,X,Silver
577,Paris,1900,Shooting,Shooting,"MOREAUX, Léon",FRA,Men,25m rapid fire pistol (60 shots),M,Silver
588,Paris,1900,Shooting,Shooting,"DUFFOY, Louis",FRA,Men,"50m army pistol, team",M,Silver
589,Paris,1900,Shooting,Shooting,"LECOQ, Maurice",FRA,Men,"50m army pistol, team",M,Silver
590,Paris,1900,Shooting,Shooting,"MOREAUX, Léon",FRA,Men,"50m army pistol, team",M,Silver
591,Paris,1900,Shooting,Shooting,"PAROCHE, Achille",FRA,Men,"50m army pistol, team",M,Silver
592,Paris,1900,Shooting,Shooting,TRINITE,FRA,Men,"50m army pistol, team",M,Silver
595,Paris,1900,Shooting,Shooting,"PAROCHE, Achille",FRA,Men,50m pistol (60 shots),M,Silver
599,Paris,1900,Shooting,Shooting,"NIELSEN, Anders Peter",DEN,Men,"army rifle, 300m, 3 positions",M,Silver
601,Paris,1900,Shooting,Shooting,"KELLENBERGER, Emil",SUI,Men,"army rifle, 300m, kneeling",M,Silver
602,Paris,1900,Shooting,Shooting,"NIELSEN, Anders Peter",DEN,Men,"army rifle, 300m, kneeling",M,Silver
605,Paris,1900,Shooting,Shooting,"NIELSEN, Anders Peter",DEN,Men,"army rifle, 300m, prone",M,Silver
608,Paris,1900,Shooting,Shooting,"ÖSTMO, Ole",NOR,Men,"army rifle, 300m, standing",M,Silver
619,Paris,1900,Shooting,Shooting,"FRYDENLUND, Olaf Emil",NOR,Men,"free rifle, team",M,Silver
620,Paris,1900,Shooting,Shooting,"HERMANDSEN, Hellmer",NOR,Men,"free rifle, team",M,Silver
621,Paris,1900,Shooting,Shooting,"ÖSTMO, Ole",NOR,Men,"free rifle, team",M,Silver
622,Paris,1900,Shooting,Shooting,"SAETHER, Ole Andreas",NOR,Men,"free rifle, team",M,Silver
623,Paris,1900,Shooting,Shooting,"SEEBERG, Tom",NOR,Men,"free rifle, team",M,Silver
626,Paris,1900,Shooting,Shooting,"GUYOT, René",FRA,Men,trap (125 targets),M,Silver
633,Paris,1900,Tennis,Tennis,"DE GARMENDIA, Basil Spalding",ZZX,Men,doubles,M,Silver
634,Paris,1900,Tennis,Tennis,"DECUGIS, Max",ZZX,Men,doubles,M,Silver
638,Paris,1900,Tennis,Tennis,"MAHONY, Harold Sergerson",ZZX,Men,mixed doubles,X,Silver
642,Paris,1900,Tennis,Tennis,"PREVOST, Hélène",ZZX,Women,mixed doubles,X,Silver
646,Paris,1900,Tennis,Tennis,"MAHONY, Harold Sergerson",GBR,Men,singles,M,Silver
650,Paris,1900,Tennis,Tennis,"PREVOST, Hélène",FRA,Women,singles,W,Silver
657,Paris,1900,Tug of War,Tug of War,"BASSET, Pierre",FRA,Men,tug of war,M,Silver
658,Paris,1900,Tug of War,Tug of War,"COLLAS, Jean",FRA,Men,tug of war,M,Silver
659,Paris,1900,Tug of War,Tug of War,"GONDOUIN, Charles",FRA,Men,tug of war,M,Silver
660,Paris,1900,Tug of War,Tug of War,"HENRIQUEZ DE ZUBIERRA, Constantin",FRA,Men,tug of war,M,Silver
661,Paris,1900,Tug of War,Tug of War,"ROFFO, Joseph",FRA,Men,tug of war,M,Silver
662,Paris,1900,Tug of War,Tug of War,"SARRADE, Emile",FRA,Men,tug of war,M,Silver
666,St Louis,1904,Aquatics,Diving,"HOFFMANN, Georg",GER,Men,10m platform,M,Silver
669,St Louis,1904,Aquatics,Diving,"ADAMS, Edgar H.",USA,Men,plunge for distance,M,Silver
672,St Louis,1904,Aquatics,Swimming,"HOFFMANN, Georg",GER,Men,100m backstroke,M,Silver
675,St Louis,1904,Aquatics,Swimming,"DANIELS, Charles",USA,Men,100m freestyle,M,Silver
678,St Louis,1904,Aquatics,Swimming,"KISS, Geza",HUN,Men,1500m freestyle,M,Silver
681,St Louis,1904,Aquatics,Swimming,"GAILEY, Francis",USA,Men,200m freestyle,M,Silver
684,St Louis,1904,Aquatics,Swimming,"BRACK, Walter",GER,Men,400m breaststroke,M,Silver
687,St Louis,1904,Aquatics,Swimming,"GAILEY, Francis",USA,Men,400m freestyle,M,Silver
696,St Louis,1904,Aquatics,Swimming,"GOETZ, Hugo",USA,Men,4x50y freestyle relay,M,Silver
697,St Louis,1904,Aquatics,Swimming,"HAMMOND, David",USA,Men,4x50y freestyle relay,M,Silver
698,St Louis,1904,Aquatics,Swimming,"THORNE, Raymond",USA,Men,4x50y freestyle relay,M,Silver
699,St Louis,1904,Aquatics,Swimming,"TUTTLE, William",USA,Men,4x50y freestyle relay,M,Silver
702,St Louis,1904,Aquatics,Swimming,"LEARY, J. Scott",USA,Men,50y freestyle (45.72m),M,Silver
705,St Louis,1904,Aquatics,Swimming,"GAILEY, Francis",USA,Men,880y freestyle (804.66m),M,Silver
708,St Louis,1904,Archery,Archery,"WILLIAMS, Robert",USA,Men,double american round (60y - 50y - 40y),M,Silver
711,St Louis,1904,Archery,Archery,"COOKE, Emma C.",USA,Women,double columbia round (50y - 40y - 30y),W,Silver
714,St Louis,1904,Archery,Archery,"COOKE, Emma C.",USA,Women,double national round (60y - 50y),W,Silver
717,St Louis,1904,Archery,Archery,"WILLIAMS, Robert",USA,Men,double york round (100y - 80y - 60y),M,Silver
726,St Louis,1904,Archery,Archery,"CLARK, William A.",USA,Men,team round 60y,M,Silver
727,St Louis,1904,Archery,Archery,"DUVALL, Samuel Harding",USA,Men,team round 60y,M,Silver
728,St Louis,1904,Archery,Archery,"HUBBARD, Charles R.",USA,Men,team round 60y,M,Silver
729,St Louis,1904,Archery,Archery,"WOODRUFF, Charles S.",USA,Men,team round 60y,M,Silver
734,St Louis,1904,Archery,Archery,"COOKE, Emma C.",USA,Women,teams FITA round,W,Silver
735,St Louis,1904,Archery,Archery,"TAYLOR, Mabel",USA,Women,teams FITA round,W,Silver
738,St Louis,1904,Athletics,Athletics,"CARTMELL, John Nathaniel",USA,Men,100m,M,Silver
741,St Louis,1904,Athletics,Athletics,"SHIDELER, Thaddeus",USA,Men,110m hurdles,M,Silver
744,St Louis,1904,Athletics,Athletics,"VERNER, William Frank",USA,Men,1500m,M,Silver
747,St Louis,1904,Athletics,Athletics,"CARTMELL, John Nathaniel",USA,Men,200m,M,Silver
750,St Louis,1904,Athletics,Athletics,"CASTLEMAN, Frank",USA,Men,200m hurdles,M,Silver
753,St Louis,1904,Athletics,Athletics,"DALY, John",GBR,Men,3000m steeplechase,M,Silver
756,St Louis,1904,Athletics,Athletics,"WALLER, Frank",USA,Men,400m,M,Silver
759,St Louis,1904,Athletics,Athletics,"WALLER, Frank",USA,Men,400m hurdles,M,Silver
