,City,Edition,Sport,Discipline,Participant,Nation,Sex,Event,Event_gender,Medal
0,Athens,1896,Aquatics,Swimming,"HAJOS, Alfred",HUN,Men,100m freestyle,M,Gold
3,Athens,1896,Aquatics,Swimming,"MALOKINIS, Ioannis",GRE,Men,100m freestyle for sailors,M,Gold
6,Athens,1896,Aquatics,Swimming,"HAJOS, Alfred",HUN,Men,1200m freestyle,M,Gold
9,Athens,1896,Aquatics,Swimming,"NEUMANN, Paul",AUT,Men,400m freestyle,M,Gold
13,Athens,1896,Athletics,Athletics,"BURKE, Thomas",USA,Men,100m,M,Gold
15,Athens,1896,Athletics,Athletics,"CURTIS, Thomas",USA,Men,110m hurdles,M,Gold
18,Athens,1896,Athletics,Athletics,"FLACK, Edwin",AUS,Men,1500m,M,Gold
21,Athens,1896,Athletics,Athletics,"BURKE, Thomas",USA,Men,400m,M,Gold
24,Athens,1896,Athletics,Athletics,"FLACK, Edwin",AUS,Men,800m,M,Gold
27,Athens,1896,Athletics,Athletics,"GARRETT, Robert",USA,Men,discus throw,M,Gold
29,Athens,1896,Athletics,Athletics,"CLARK, Ellery",USA,Men,high jump,M,Gold
33,Athens,1896,Athletics,Athletics,"CLARK, Ellery",USA,Men,long jump,M,Gold
36,Athens,1896,Athletics,Athletics,"LOUIS, Spyridon",GRE,Men,marathon,M,Gold
40,Athens,1896,Athletics,Athletics,"HOYT, William Welles",USA,Men,pole vault,M,Gold
43,Athens,1896,Athletics,Athletics,"GARRETT, Robert",USA,Men,shot put,M,Gold
46,Athens,1896,Athletics,Athletics,"CONNOLLY, James",USA,Men,triple jump,M,Gold
49,Athens,1896,Cycling,Cycling Road,"KONSTANTINIDIS, Aristidis",GRE,Men,individual road race,M,Gold
51,Athens,1896,Cycling,Cycling Track,"FLAMENG, Léon",FRA,Men,100km,M,Gold
54,Athens,1896,Cycling,Cycling Track,"MASSON, Paul",FRA,Men,10km,M,Gold
56,Athens,1896,Cycling,Cycling Track,"SCHMAL, Adolf",AUT,Men,12-hour race,M,Gold
59,Athens,1896,Cycling,Cycling Track,"MASSON, Paul",FRA,Men,1km time trial,M,Gold
62,Athens,1896,Cycling,Cycling Track,"MASSON, Paul",FRA,Men,Sprint indivual,M,Gold
65,Athens,1896,Fencing,Fencing,"GRAVELOTTE, Eugène-Henri",FRA,Men,foil individual,M,Gold
67,Athens,1896,Fencing,Fencing,"PYRGOS, Leonidas",GRE,Men,"foil, masters",M,Gold
70,Athens,1896,Fencing,Fencing,"GEORGIADIS, Ioannis",GRE,Men,sabre individual,M,Gold
72,Athens,1896,Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",GER,Men,horizontal bar,M,Gold
74,Athens,1896,Gymnastics,Artistic G.,"FLATOW, Alfred",GER,Men,parallel bars,M,Gold
76,Athens,1896,Gymnastics,Artistic G.,"ZUTTER, Louis",SUI,Men,pommel horse,M,Gold
79,Athens,1896,Gymnastics,Artistic G.,"MITROPOULOS, Ioannis",GRE,Men,rings,M,Gold
82,Athens,1896,Gymnastics,Artistic G.,"ANDRIAKOPOULOS, Nicolaos",GRE,Men,rope climbing,M,Gold
84,Athens,1896,Gymnastics,Artistic G.,"BÖCKER, Konrad",GER,Men,"team, horizontal bar",M,Gold
85,Athens,1896,Gymnastics,Artistic G.,"FLATOW, Alfred",GER,Men,"team, horizontal bar",M,Gold
86,Athens,1896,Gymnastics,Artistic G.,"FLATOW, Gustav Felix",GER,Men,"team, horizontal bar",M,Gold
87,Athens,1896,Gymnastics,Artistic G.,"HILMAR, Georg",GER,Men,"team, horizontal bar",M,Gold
88,Athens,1896,Gymnastics,Artistic G.,"HOFMANN, Fritz",GER,Men,"team, horizontal bar",M,Gold
89,Athens,1896,Gymnastics,Artistic G.,"MANTEUFFEL, Fritz",GER,Men,"team, horizontal bar",M,Gold
90,Athens,1896,Gymnastics,Artistic G.,"NEUKIRCH, Karl",GER,Men,"team, horizontal bar",M,Gold
91,Athens,1896,Gymnastics,Artistic G.,"RÖSTEL, Richard",GER,Men,"team, horizontal bar",M,Gold
92,Athens,1896,Gymnastics,Artistic G.,"SCHUFT, Gustav",GER,Men,"team, horizontal bar",M,Gold
93,Athens,1896,Gymnastics,Artistic G.,"SCHUMANN, Carl",GER,Men,"team, horizontal bar",M,Gold
94,Athens,1896,Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",GER,Men,"team, horizontal bar",M,Gold
99,Athens,1896,Gymnastics,Artistic G.,"BÖCKER, Konrad",GER,Men,"team, parallel bars",M,Gold
100,Athens,1896,Gymnastics,Artistic G.,"FLATOW, Alfred",GER,Men,"team, parallel bars",M,Gold
101,Athens,1896,Gymnastics,Artistic G.,"FLATOW, Gustav Felix",GER,Men,"team, parallel bars",M,Gold
102,Athens,1896,Gymnastics,Artistic G.,"HILMAR, Georg",GER,Men,"team, parallel bars",M,Gold
103,Athens,1896,Gymnastics,Artistic G.,"HOFMANN, Fritz",GER,Men,"team, parallel bars",M,Gold
104,Athens,1896,Gymnastics,Artistic G.,"MANTEUFFEL, Fritz",GER,Men,"team, parallel bars",M,Gold
105,Athens,1896,Gymnastics,Artistic G.,"NEUKIRCH, Karl",GER,Men,"team, parallel bars",M,Gold
106,Athens,1896,Gymnastics,Artistic G.,"RÖSTEL, Richard",GER,Men,"team, parallel bars",M,Gold
107,Athens,1896,Gymnastics,Artistic G.,"SCHUFT, Gustav",GER,Men,"team, parallel bars",M,Gold
108,Athens,1896,Gymnastics,Artistic G.,"SCHUMANN, Carl",GER,Men,"team, parallel bars",M,Gold
109,Athens,1896,Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",GER,Men,"team, parallel bars",M,Gold
115,Athens,1896,Gymnastics,Artistic G.,"SCHUMANN, Carl",GER,Men,vault,M,Gold
118,Athens,1896,Shooting,Shooting,"PAINE, John",USA,Men,25m army pistol,M,Gold
121,Athens,1896,Shooting,Shooting,"PHRANGOUDIS, Joannis",GRE,Men,25m rapid fire pistol (60 shots),M,Gold
124,Athens,1896,Shooting,Shooting,"PAINE, Sumner",USA,Men,50m pistol (60 shots),M,Gold
127,Athens,1896,Shooting,Shooting,"KARASEVDAS, Pantelis",GRE,Men,"army rifle, 200m",M,Gold
130,Athens,1896,Shooting,Shooting,"ORPHANIDIS, Georgios",GRE,Men,"army rifle, 300m",M,Gold
134,Athens,1896,Tennis,Tennis,"BOLAND, John",ZZX,Men,doubles,M,Gold
135,Athens,1896,Tennis,Tennis,"TRAUN, Friedrich",ZZX,Men,doubles,M,Gold
140,Athens,1896,Tennis,Tennis,"BOLAND, John",GBR,Men,singles,M,Gold
143,Athens,1896,Weightlifting,Weightlifting,"ELLIOTT, Launceston",GBR,Men,heavyweight - one hand lift,M,Gold
146,Athens,1896,Weightlifting,Weightlifting,"JENSEN, Viggo",DEN,Men,heavyweight - two hand lift,M,Gold
149,Athens,1896,Wrestling,Wrestling Gre-R,"SCHUMANN, Carl",GER,Men,open event,M,Gold
152,Paris,1900,Aquatics,Swimming,"JARVIS, John Arthur",GBR,Men,1500m freestyle,M,Gold
155,Paris,1900,Aquatics,Swimming,"HOPPENBERG, Ernst",GER,Men,200m backstroke,M,Gold
158,Paris,1900,Aquatics,Swimming,"LANE, Frederick C.V.",AUS,Men,200m freestyle,M,Gold
161,Paris,1900,Aquatics,Swimming,"LANE, Frederick C.V.",AUS,Men,200m obstacle event,M,Gold
168,Paris,1900,Aquatics,Swimming,"FREY, Julius",GER,Men,200m team swimming,M,Gold
169,Paris,1900,Aquatics,Swimming,"HAINLE, Max",GER,Men,200m team swimming,M,Gold
170,Paris,1900,Aquatics,Swimming,"HOPPENBERG, Ernst",GER,Men,200m team swimming,M,Gold
171,Paris,1900,Aquatics,Swimming,"SCHÖNE, Max",GER,Men,200m team swimming,M,Gold
172,Paris,1900,Aquatics,Swimming,"VON PETERSDORFF, Herbert",GER,Men,200m team swimming,M,Gold
179,Paris,1900,Aquatics,Swimming,"JARVIS, John Arthur",GBR,Men,4000m freestyle,M,Gold
182,Paris,1900,Aquatics,Swimming,"DE VENDEVILLE, Charles",FRA,Men,underwater swimming,M,Gold
198,Paris,1900,Aquatics,Water polo,"COE, Thomas",GBR,Men,water polo,M,Gold
199,Paris,1900,Aquatics,Water polo,"DERBYSHIRE, John Henry",GBR,Men,water polo,M,Gold
200,Paris,1900,Aquatics,Water polo,"KEMP, Peter",GBR,Men,water polo,M,Gold
201,Paris,1900,Aquatics,Water polo,"LISTER, William",GBR,Men,water polo,M,Gold
202,Paris,1900,Aquatics,Water polo,"ROBERTSON, Arthur",GBR,Men,water polo,M,Gold
203,Paris,1900,Aquatics,Water polo,"ROBINSON, Eric",GBR,Men,water polo,M,Gold
204,Paris,1900,Aquatics,Water polo,"WILKINSON, George",GBR,Men,water polo,M,Gold
213,Paris,1900,Archery,Archery,"VAN INNIS, Hubert",BEL,Men,"au chapelet, 33m",M,Gold
216,Paris,1900,Archery,Archery,"MOUGIN, Eugène",FRA,Men,"au chapelet, 50m",M,Gold
219,Paris,1900,Archery,Archery,"VAN INNIS, Hubert",BEL,Men,"au cordon doré, 33m",M,Gold
222,Paris,1900,Archery,Archery,"HEROUIN, Henri",FRA,Men,"au cordon doré, 50m",M,Gold
224,Paris,1900,Archery,Archery,"FOULON, Emmanuel",BEL,Men,sur la perche à la herse,M,Gold
228,Paris,1900,Archery,Archery,"GRUMIAUX, Emile",FRA,Men,sur la perche à la pyramide,M,Gold
231,Paris,1900,Athletics,Athletics,"JARVIS, Francis",USA,Men,100m,M,Gold
234,Paris,1900,Athletics,Athletics,"KRAENZLEIN, Alvin",USA,Men,110m hurdles,M,Gold
237,Paris,1900,Athletics,Athletics,"BENNETT, Charles",GBR,Men,1500m,M,Gold
240,Paris,1900,Athletics,Athletics,"TEWKSBURY, Walter B. John",USA,Men,200m,M,Gold
243,Paris,1900,Athletics,Athletics,"KRAENZLEIN, Alvin",USA,Men,200m hurdles,M,Gold
246,Paris,1900,Athletics,Athletics,"ORTON, George",CAN,Men,3000m steeplechase,M,Gold
249,Paris,1900,Athletics,Athletics,"RIMMER, John",GBR,Men,4000m steeplechase,M,Gold
252,Paris,1900,Athletics,Athletics,"LONG, Maxwell W.Maxey",USA,Men,400m,M,Gold
255,Paris,1900,Athletics,Athletics,"TEWKSBURY, Walter B. John",USA,Men,400m hurdles,M,Gold
257,Paris,1900,Athletics,Athletics,"BENNETT, Charles",ZZX,Men,5000m team,M,Gold
258,Paris,1900,Athletics,Athletics,"RIMMER, John",ZZX,Men,5000m team,M,Gold
259,Paris,1900,Athletics,Athletics,"ROBINSON, Sidney",ZZX,Men,5000m team,M,Gold
260,Paris,1900,Athletics,Athletics,"ROWLEY, Stanley",ZZX,Men,5000m team,M,Gold
261,Paris,1900,Athletics,Athletics,"TYSOE, Alfred",ZZX,Men,5000m team,M,Gold
268,Paris,1900,Athletics,Athletics,"KRAENZLEIN, Alvin",USA,Men,60m,M,Gold
271,Paris,1900,Athletics,Athletics,"TYSOE, Alfred",GBR,Men,800m,M,Gold
274,Paris,1900,Athletics,Athletics,"BAUER, Rudolf",HUN,Men,discus throw,M,Gold
277,Paris,1900,Athletics,Athletics,"FLANAGAN, John Jesus",USA,Men,hammer throw,M,Gold
280,Paris,1900,Athletics,Athletics,"BAXTER, Irving",USA,Men,high jump,M,Gold
283,Paris,1900,Athletics,Athletics,"EWRY, Ray",USA,Men,"high jump, standing",M,Gold
286,Paris,1900,Athletics,Athletics,"KRAENZLEIN, Alvin",USA,Men,long jump,M,Gold
289,Paris,1900,Athletics,Athletics,"EWRY, Ray",USA,Men,"long jump, standing",M,Gold
292,Paris,1900,Athletics,Athletics,"THEATO, Michel",FRA,Men,marathon,M,Gold
295,Paris,1900,Athletics,Athletics,"BAXTER, Irving",USA,Men,pole vault,M,Gold
298,Paris,1900,Athletics,Athletics,"SHELDON, Richard",USA,Men,shot put,M,Gold
301,Paris,1900,Athletics,Athletics,"PRINSTEIN, Meyer",USA,Men,triple jump,M,Gold
304,Paris,1900,Athletics,Athletics,"EWRY, Ray",USA,Men,"triple jump, standing",M,Gold
306,Paris,1900,Basque Pelota,Basque Pelota,"De AMEZOLA y ASPIZUA, José",ESP,Men,cesta punta,M,Gold
307,Paris,1900,Basque Pelota,Basque Pelota,"VILLOTA BAQUIOLA, Francisco",ESP,Men,cesta punta,M,Gold
310,Paris,1900,Cricket,Cricket,"BEACHCROFT, Charles",GBR,Men,cricket,M,Gold
311,Paris,1900,Cricket,Cricket,"BIRKETT, Arthur Ernest",GBR,Men,cricket,M,Gold
312,Paris,1900,Cricket,Cricket,"BOWERMAN, Alfred James",GBR,Men,cricket,M,Gold
313,Paris,1900,Cricket,Cricket,"BUCKLEY, George John",GBR,Men,cricket,M,Gold
314,Paris,1900,Cricket,Cricket,"BURCHELL, Francis Romulus",GBR,Men,cricket,M,Gold
315,Paris,1900,Cricket,Cricket,"CHRISTIAN, Frederick William",GBR,Men,cricket,M,Gold
316,Paris,1900,Cricket,Cricket,"CORNER, Harry Richard",GBR,Men,cricket,M,Gold
317,Paris,1900,Cricket,Cricket,"CUMING, Frederick Wlliam",GBR,Men,cricket,M,Gold
318,Paris,1900,Cricket,Cricket,"DONNE, William Stephen",GBR,Men,cricket,M,Gold
319,Paris,1900,Cricket,Cricket,"POWLESLAND, Alfred James",GBR,Men,cricket,M,Gold
320,Paris,1900,Cricket,Cricket,"SYMES, John",GBR,Men,cricket,M,Gold
321,Paris,1900,Cricket,Cricket,"TOLLER, Montagu Henry",GBR,Men,cricket,M,Gold
334,Paris,1900,Croquet,Croquet,AUMOITTE,FRA,Men,double,M,Gold
335,Paris,1900,Croquet,Croquet,JOHIN,FRA,Men,double,M,Gold
337,Paris,1900,Croquet,Croquet,AUMOITTE,FRA,Men,individual 1 ball,M,Gold
340,Paris,1900,Croquet,Croquet,WAYDELICH,FRA,Men,individual 2 balls,M,Gold
343,Paris,1900,Cycling,Cycling Track,"BASTIEN, Louis",FRA,Men,25 kilometres,M,Gold
346,Paris,1900,Cycling,Cycling Track,"TAILLANDIER, Georges",FRA,Men,Sprint indivual,M,Gold
349,Paris,1900,Equestrian,Jumping,"GARDERES, Dominique Maximien",FRA,Men,high jump,X,Gold
350,Paris,1900,Equestrian,Jumping,"TRISSINO, Gian Giorgio",ITA,Men,high jump,X,Gold
352,Paris,1900,Equestrian,Jumping,"HAEGEMAN, Aimé",BEL,Men,individual,X,Gold
355,Paris,1900,Equestrian,Jumping,"VAN LANGHENDONCK, Constant",BEL,Men,long jump individual,X,Gold
358,Paris,1900,Fencing,Fencing,"FONST, Ramon",CUB,Men,épée individual,M,Gold
361,Paris,1900,Fencing,Fencing,"AYAT, Albert",FRA,Men,"épée, amateurs and masters",M,Gold
364,Paris,1900,Fencing,Fencing,"AYAT, Albert",FRA,Men,"épée, masters",M,Gold
367,Paris,1900,Fencing,Fencing,"COSTE, Emile",FRA,Men,foil individual,M,Gold
370,Paris,1900,Fencing,Fencing,"MERIGNAC, Lucien",FRA,Men,"foil, masters",M,Gold
373,Paris,1900,Fencing,Fencing,"DE LA FALAISE, Georges",FRA,Men,sabre individual,M,Gold
376,Paris,1900,Fencing,Fencing,"CONTE, Antonio",ITA,Men,"sabre, masters",M,Gold
389,Paris,1900,Football,Football,"BUCKENHAM, Claude Percy",GBR,Men,football,M,Gold
390,Paris,1900,Football,Football,"BURRIDGE, T.E.",GBR,Men,football,M,Gold
391,Paris,1900,Football,Football,"CHALK, Alfred Ernest",GBR,Men,football,M,Gold
392,Paris,1900,Football,Football,"GROSLING, William Sullivan",GBR,Men,football,M,Gold
393,Paris,1900,Football,Football,"HASLAM, A.",GBR,Men,football,M,Gold
394,Paris,1900,Football,Football,"JONES, J.H.",GBR,Men,football,M,Gold
395,Paris,1900,Football,Football,"NICHOLAS, J.",GBR,Men,football,M,Gold
396,Paris,1900,Football,Football,"QUASH, William Francis",GBR,Men,football,M,Gold
397,Paris,1900,Football,Football,"SPACKMAN, F.G.",GBR,Men,football,M,Gold
398,Paris,1900,Football,Football,"TURNER, R.R.",GBR,Men,football,M,Gold
399,Paris,1900,Football,Football,"ZEALLEY, James Edward",GBR,Men,football,M,Gold
414,Paris,1900,Golf,Golf,"SANDS, Charles Edward",USA,Men,individual,M,Gold
417,Paris,1900,Golf,Golf,"ABBOTT, Margaret Ives",USA,Women,individual,W,Gold
420,Paris,1900,Gymnastics,Artistic G.,"SANDRAS, Gustave",FRA,Men,individual all-round,M,Gold
426,Paris,1900,Polo,Polo,"DALY, Dennis",ZZX,Men,polo,M,Gold
427,Paris,1900,Polo,Polo,"KEENE, Foxhall Parker",ZZX,Men,polo,M,Gold
428,Paris,1900,Polo,Polo,"MACKEY, Frank Jay",ZZX,Men,polo,M,Gold
429,Paris,1900,Polo,Polo,"RAWLINSON, Alfred",ZZX,Men,polo,M,Gold
443,Paris,1900,Rowing,Rowing,"ABELL, Louis",USA,Men,eight with coxswain (8+),M,Gold
444,Paris,1900,Rowing,Rowing,"CARR, William",USA,Men,eight with coxswain (8+),M,Gold
445,Paris,1900,Rowing,Rowing,"DEBAECKE, Harry",USA,Men,eight with coxswain (8+),M,Gold
446,Paris,1900,Rowing,Rowing,"EXLEY, John",USA,Men,eight with coxswain (8+),M,Gold
447,Paris,1900,Rowing,Rowing,"GEIGER, John",USA,Men,eight with coxswain (8+),M,Gold
448,Paris,1900,Rowing,Rowing,"HEDLEY, Edward",USA,Men,eight with coxswain (8+),M,Gold
449,Paris,1900,Rowing,Rowing,"JUVENAL, James",USA,Men,eight with coxswain (8+),M,Gold
450,Paris,1900,Rowing,Rowing,"LOCKWOOD, Roscoe",USA,Men,eight with coxswain (8+),M,Gold
451,Paris,1900,Rowing,Rowing,"MARSH, Edward",USA,Men,eight with coxswain (8+),M,Gold
471,Paris,1900,Rowing,Rowing,"BOUCKAERT, Henri",FRA,Men,four-oared shell with coxswain (4-),M,Gold
472,Paris,1900,Rowing,Rowing,"CAU, Jean",FRA,Men,four-oared shell with coxswain (4-),M,Gold
473,Paris,1900,Rowing,Rowing,CHARLOT,FRA,Men,four-oared shell with coxswain (4-),M,Gold
474,Paris,1900,Rowing,Rowing,"DELCHAMBRE, Emile",FRA,Men,four-oared shell with coxswain (4-),M,Gold
475,Paris,1900,Rowing,Rowing,"GOSSLER, Carl Heinrich",GER,Men,four-oared shell with coxswain (4-),M,Gold
476,Paris,1900,Rowing,Rowing,"GOSSLER, Gustav Ludwig",GER,Men,four-oared shell with coxswain (4-),M,Gold
477,Paris,1900,Rowing,Rowing,"GOSSLER, Oscar",GER,Men,four-oared shell with coxswain (4-),M,Gold
478,Paris,1900,Rowing,Rowing,"HAZEBROUCK, Henri",FRA,Men,four-oared shell with coxswain (4-),M,Gold
479,Paris,1900,Rowing,Rowing,"KATZENSTEIN, Walther",GER,Men,four-oared shell with coxswain (4-),M,Gold
480,Paris,1900,Rowing,Rowing,"TIETGENS, Waldemar",GER,Men,four-oared shell with coxswain (4-),M,Gold
493,Paris,1900,Rowing,Rowing,"BRANDT, Francois Antoine",ZZX,Men,pair-oared shell with coxswain (2+),M,Gold
494,Paris,1900,Rowing,Rowing,"BROCKMANN, Hermanus Gerardus",ZZX,Men,pair-oared shell with coxswain (2+),M,Gold
495,Paris,1900,Rowing,Rowing,"KLEIN, Roelof",ZZX,Men,pair-oared shell with coxswain (2+),M,Gold
500,Paris,1900,Rowing,Rowing,"BARRELET, Henri",FRA,Men,single sculls (1x),M,Gold
502,Paris,1900,Rugby,Rugby,"AITOFF, Vladimir",FRA,Men,rugby,M,Gold
503,Paris,1900,Rugby,Rugby,"ALBERT, A.",FRA,Men,rugby,M,Gold
504,Paris,1900,Rugby,Rugby,"BINOCHE, Jean, LÃ©on",FRA,Men,rugby,M,Gold
505,Paris,1900,Rugby,Rugby,"COLLAS, Jean",FRA,Men,rugby,M,Gold
506,Paris,1900,Rugby,Rugby,"GAUTIER, Jean Guy",FRA,Men,rugby,M,Gold
507,Paris,1900,Rugby,Rugby,"GIROUX, Auguste",FRA,Men,rugby,M,Gold
508,Paris,1900,Rugby,Rugby,"GONDOUIN, Charles",FRA,Men,rugby,M,Gold
509,Paris,1900,Rugby,Rugby,"HENRIQUEZ DE ZUBIERRA, Constantin",FRA,Men,rugby,M,Gold
510,Paris,1900,Rugby,Rugby,"HERVE, Jean",FRA,Men,rugby,M,Gold
511,Paris,1900,Rugby,Rugby,"LARDANCHET, Victor",FRA,Men,rugby,M,Gold
512,Paris,1900,Rugby,Rugby,"LEFEBVRE, Hubert",FRA,Men,rugby,M,Gold
513,Paris,1900,Rugby,Rugby,"OLIVIER, Joseph",FRA,Men,rugby,M,Gold
514,Paris,1900,Rugby,Rugby,"PHARAMOND, Alexandre",FRA,Men,rugby,M,Gold
515,Paris,1900,Rugby,Rugby,"REICHEL, Frantz",FRA,Men,rugby,M,Gold
516,Paris,1900,Rugby,Rugby,"RISCHMANN, André",FRA,Men,rugby,M,Gold
517,Paris,1900,Rugby,Rugby,"ROOSEVELT, Albert",FRA,Men,rugby,M,Gold
518,Paris,1900,Rugby,Rugby,"SARRADE, Emile",FRA,Men,rugby,M,Gold
551,Paris,1900,Sailing,Sailing,"GRETTON, John H.",GBR,Men,0.5-1t,X,Gold
552,Paris,1900,Sailing,Sailing,"HOPE, Linton",GBR,Men,0.5-1t,X,Gold
553,Paris,1900,Sailing,Sailing,"LORD CURRIE, Lorne Campbell",GBR,Men,0.5-1t,X,Gold
560,Paris,1900,Sailing,Sailing,"BILLARD, Emile",FRA,Men,10-20t,X,Gold
561,Paris,1900,Sailing,Sailing,"PERQUER, P.",FRA,Men,10-20t,X,Gold
564,Paris,1900,Sailing,Sailing,"TAYLOR, Howard",GBR,Men,3-10t,X,Gold
568,Paris,1900,Sailing,Sailing,"GRETTON, John H.",GBR,Men,open class,X,Gold
569,Paris,1900,Sailing,Sailing,"HOPE, Linton",GBR,Men,open class,X,Gold
570,Paris,1900,Sailing,Sailing,"LORD CURRIE, Lorne Campbell",GBR,Men,open class,X,Gold
576,Paris,1900,Shooting,Shooting,"LARROUY, Maurice",FRA,Men,25m rapid fire pistol (60 shots),M,Gold
583,Paris,1900,Shooting,Shooting,"LÜTHI, Friedrich",SUI,Men,"50m army pistol, team",M,Gold
584,Paris,1900,Shooting,Shooting,"PROBST, Paul",SUI,Men,"50m army pistol, team",M,Gold
585,Paris,1900,Shooting,Shooting,"RICHARDET, Louis-Marc",SUI,Men,"50m army pistol, team",M,Gold
586,Paris,1900,Shooting,Shooting,"RÖDERER, Karl Konrad",SUI,Men,"50m army pistol, team",M,Gold
587,Paris,1900,Shooting,Shooting,"STÄHELI, Konrad",SUI,Men,"50m army pistol, team",M,Gold
594,Paris,1900,Shooting,Shooting,"RÖDERER, Karl Konrad",SUI,Men,50m pistol (60 shots),M,Gold
598,Paris,1900,Shooting,Shooting,"KELLENBERGER, Emil",SUI,Men,"army rifle, 300m, 3 positions",M,Gold
600,Paris,1900,Shooting,Shooting,"STÄHELI, Konrad",SUI,Men,"army rifle, 300m, kneeling",M,Gold
604,Paris,1900,Shooting,Shooting,"PAROCHE, Achille",FRA,Men,"army rifle, 300m, prone",M,Gold
607,Paris,1900,Shooting,Shooting,"MADSEN, Lars Jörgen",DEN,Men,"army rifle, 300m, standing",M,Gold
614,Paris,1900,Shooting,Shooting,"BÖCKLI, Franz",SUI,Men,"free rifle, team",M,Gold
615,Paris,1900,Shooting,Shooting,"GRÜTER, Alfred",SUI,Men,"free rifle, team",M,Gold
616,Paris,1900,Shooting,Shooting,"KELLENBERGER, Emil",SUI,Men,"free rifle, team",M,Gold
617,Paris,1900,Shooting,Shooting,"RICHARDET, Louis-Marc",SUI,Men,"free rifle, team",M,Gold
618,Paris,1900,Shooting,Shooting,"STÄHELI, Konrad",SUI,Men,"free rifle, team",M,Gold
625,Paris,1900,Shooting,Shooting,"DE BARBARIN, Roger",FRA,Men,trap (125 targets),M,Gold
631,Paris,1900,Tennis,Tennis,"DOHERTY, Hugh Lawrence",GBR,Men,doubles,M,Gold
632,Paris,1900,Tennis,Tennis,"DOHERTY, Reginald Frank",GBR,Men,doubles,M,Gold
637,Paris,1900,Tennis,Tennis,"DOHERTY, Reginald Frank",GBR,Men,mixed doubles,X,Gold
641,Paris,1900,Tennis,Tennis,"COOPER, Charlotte",GBR,Women,mixed doubles,X,Gold
645,Paris,1900,Tennis,Tennis,"DOHERTY, Hugh Lawrence",GBR,Men,singles,M,Gold
649,Paris,1900,Tennis,Tennis,"COOPER, Charlotte",GBR,Women,singles,W,Gold
651,Paris,1900,Tug of War,Tug of War,"AABYE, Edgar",ZZX,Men,tug of war,M,Gold
652,Paris,1900,Tug of War,Tug of War,"NILSSON, August",ZZX,Men,tug of war,M,Gold
653,Paris,1900,Tug of War,Tug of War,"SCHMIDT, Eugen",ZZX,Men,tug of war,M,Gold
654,Paris,1900,Tug of War,Tug of War,"SÖDERSTRÖM, Gustaf",ZZX,Men,tug of war,M,Gold
655,Paris,1900,Tug of War,Tug of War,"STAAF, Karl Gustav",ZZX,Men,tug of war,M,Gold
656,Paris,1900,Tug of War,Tug of War,"WINCKLER, Charles",ZZX,Men,tug of war,M,Gold
665,St Louis,1904,Aquatics,Diving,"SHELDON, George",USA,Men,10m platform,M,Gold
668,St Louis,1904,Aquatics,Diving,"DICKEY, William Paul",USA,Men,plunge for distance,M,Gold
671,St Louis,1904,Aquatics,Swimming,"BRACK, Walter",GER,Men,100m backstroke,M,Gold
674,St Louis,1904,Aquatics,Swimming,"HALMAY, Zoltan",HUN,Men,100m freestyle,M,Gold
677,St Louis,1904,Aquatics,Swimming,"RAUSCH, Emil",GER,Men,1500m freestyle,M,Gold
680,St Louis,1904,Aquatics,Swimming,"DANIELS, Charles",USA,Men,200m freestyle,M,Gold
683,St Louis,1904,Aquatics,Swimming,"ZACHARIAS, Georg",GER,Men,400m breaststroke,M,Gold
686,St Louis,1904,Aquatics,Swimming,"DANIELS, Charles",USA,Men,400m freestyle,M,Gold
692,St Louis,1904,Aquatics,Swimming,"DANIELS, Charles",USA,Men,4x50y freestyle relay,M,Gold
693,St Louis,1904,Aquatics,Swimming,"GOODWIN, Leo Budd",USA,Men,4x50y freestyle relay,M,Gold
694,St Louis,1904,Aquatics,Swimming,"HANDLEY, Louis De Breda",USA,Men,4x50y freestyle relay,M,Gold
695,St Louis,1904,Aquatics,Swimming,"RUDDY, Joseph A.",USA,Men,4x50y freestyle relay,M,Gold
701,St Louis,1904,Aquatics,Swimming,"HALMAY, Zoltan",HUN,Men,50y freestyle (45.72m),M,Gold
704,St Louis,1904,Aquatics,Swimming,"RAUSCH, Emil",GER,Men,880y freestyle (804.66m),M,Gold
707,St Louis,1904,Archery,Archery,"BRYANT, George Philipp",USA,Men,double american round (60y - 50y - 40y),M,Gold
710,St Louis,1904,Archery,Archery,"HOWELL, Matilda Scott",USA,Women,double columbia round (50y - 40y - 30y),W,Gold
713,St Louis,1904,Archery,Archery,"HOWELL, Matilda Scott",USA,Women,double national round (60y - 50y),W,Gold
716,St Louis,1904,Archery,Archery,"BRYANT, George Philipp",USA,Men,double york round (100y - 80y - 60y),M,Gold
722,St Louis,1904,Archery,Archery,"MAXSON, Louis W.",USA,Men,team round 60y,M,Gold
723,St Louis,1904,Archery,Archery,"SPENCER, Galen Carter",USA,Men,team round 60y,M,Gold
724,St Louis,1904,Archery,Archery,"THOMPSON, William Henry",USA,Men,team round 60y,M,Gold
725,St Louis,1904,Archery,Archery,"WILLIAMS, Robert",USA,Men,team round 60y,M,Gold
730,St Louis,1904,Archery,Archery,"HOWELL, Matilda Scott",USA,Women,teams FITA round,W,Gold
731,St Louis,1904,Archery,Archery,"POLLOCK, Jessie",USA,Women,teams FITA round,W,Gold
